date,time,tradingsymbol,open,high,low,close,volume
2023-09-15,00:00:00,UNITDSPR,1074.95,1074.95,1043.5,1048.95,1025493
2023-09-18,00:00:00,UNITDSPR,1049.55,1050.0,1033.8,1044.55,515926
2023-09-20,00:00:00,UNITDSPR,1039.95,1045.6,1025.0,1038.7,416251
2023-09-21,00:00:00,UNITDSPR,1038.0,1038.0,1007.8,1018.5,1000226
2023-09-22,00:00:00,UNITDSPR,1010.25,1026.75,1002.35,1017.45,865651
2023-09-25,00:00:00,UNITDSPR,1022.0,1024.35,1010.15,1017.95,482925
2023-09-26,00:00:00,UNITDSPR,1018.0,1022.35,1011.0,1013.9,334094
2023-09-27,00:00:00,UNITDSPR,1014.6,1019.6,1007.05,1017.0,477461
2023-09-28,00:00:00,UNITDSPR,1011.2,1018.9,998.75,1002.05,974562
2023-09-29,00:00:00,UNITDSPR,1007.35,1015.0,995.0,1007.25,682357
2023-10-03,00:00:00,UNITDSPR,1004.9,1008.0,996.9,998.75,330560
2023-10-04,00:00:00,UNITDSPR,998.75,999.95,981.35,985.75,734244
2023-10-05,00:00:00,UNITDSPR,990.9,1014.2,990.1,1011.5,628247
2023-10-06,00:00:00,UNITDSPR,1016.95,1027.0,1008.0,1024.65,466321
2023-10-09,00:00:00,UNITDSPR,1030.7,1031.4,1005.95,1014.5,1215500
2023-10-10,00:00:00,UNITDSPR,1016.25,1036.0,1014.5,1024.8,886292
2023-10-11,00:00:00,UNITDSPR,1036.7,1054.0,1032.75,1050.35,1406477
2023-10-12,00:00:00,UNITDSPR,1052.95,1062.3,1045.1,1053.25,911102
2023-10-13,00:00:00,UNITDSPR,1051.0,1087.8,1046.2,1068.25,1415702
2023-10-16,00:00:00,UNITDSPR,1069.85,1086.85,1062.3,1078.0,988255
2023-10-17,00:00:00,UNITDSPR,1086.85,1098.0,1080.75,1086.4,1988932
2023-10-18,00:00:00,UNITDSPR,1086.0,1086.0,1050.7,1056.35,889566
2023-10-19,00:00:00,UNITDSPR,1042.0,1052.4,1028.75,1046.05,991916
2023-10-20,00:00:00,UNITDSPR,1044.0,1046.25,1034.4,1040.1,660749
2023-10-23,00:00:00,UNITDSPR,1030.0,1036.6,1007.75,1012.1,547657
2023-10-25,00:00:00,UNITDSPR,1012.1,1029.65,1007.15,1011.0,487319
2023-10-26,00:00:00,UNITDSPR,1011.0,1015.55,993.85,1010.75,744678
2023-10-27,00:00:00,UNITDSPR,1025.5,1038.35,1016.85,1021.95,702387
2023-10-30,00:00:00,UNITDSPR,1029.0,1032.45,1011.25,1027.8,667943
2023-10-31,00:00:00,UNITDSPR,1027.8,1039.65,1018.4,1032.2,469941
2023-11-01,00:00:00,UNITDSPR,1034.95,1050.3,1030.35,1045.65,682202
2023-11-02,00:00:00,UNITDSPR,1055.0,1064.7,1040.95,1057.25,905238
2023-11-03,00:00:00,UNITDSPR,1062.0,1075.0,1058.3,1071.2,1358472
